Activity Totals Data Participant ID,Activity Totals Data Entry Date,Activity Totals Data Avg Normalized La,Activity Totals Data Avg Normalized Rw
589,2019-12-20,404.30735349569625,442.29511490526323
1065,2019-12-20,343.60176544216876,257.874454390184
676,2019-12-20,448.45301464226424,399.06876710714283
678,2019-12-20,247.86790134878984,507.66828968407634
1176,2019-12-18,887.549897310633,730.5402336390246
443,2019-12-17,87.47401652538466,646.874796128
967,2019-12-17,301.29042987298703,533.591914308772
1154,2019-12-17,536.1052085896935,541.4749480714287
458,2019-12-16,1363.5717586543592,414.0767716951219
49,2019-12-16,250.9353174201274,294.95474421383653
106,2019-12-16,632.1325033850002,180.93520741304349
1076,2019-12-16,106.7986149222086,310.66707230059177
1395,2019-12-16,1227.3991177274536,942.466624991716
1074,2019-12-16,0.036200637681159435,234.90519279757572
1223,2019-12-16,1942.9563837079759,940.5486470880952
400,2019-12-15,1127.2192345575,172.47111946500004
219,2019-12-15,1090.1395553187424,681.113675788957
1469,2019-12-15,344.15906686490064,694.680405015
571,2019-12-15,301.48144465333337,667.8052561416151
1341,2019-12-15,127.13726218720001,68.88446734878049
718,2019-12-15,990.189431841274,667.786992909317
1495,2019-12-14,1231.8581791582715,743.512978248193
1383,2019-12-14,601.2463856650634,583.7149710617284
1234,2019-12-14,525.8571156774843,422.38170374399994
966,2019-12-14,1346.057619961266,398.7205595925927
1452,2019-12-14,596.4811949151898,595.4102309132529
1331,2019-12-14,278.2694169763415,17.49802265846154
447,2019-12-13,0,145.38523630451613
1271,2019-12-13,968.9133652975485,692.8823270349999
1253,2019-12-13,551.864107459363,344.48662716790125
1404,2019-12-13,661.8192374020456,102.17558052888889
732,2019-12-13,303.58086910606454,0.007322028985507245
1264,2019-12-13,290.589179584,579.4631746578314
1294,2019-12-11,1253.95905854125,887.748944693827
1444,2019-12-10,769.2864634657502,91.73021055348835
1428,2019-12-10,297.60167517496774,537.689605265
1297,2019-12-09,451.4410374101266,624.6587321350651
1313,2019-12-09,513.4756673334193,477.23485376
378,2019-12-09,299.9850569270886,753.9086819530863
1014,2019-12-09,1442.1758109431169,846.9550964953487
130,2019-12-09,420.3285970094268,644.0666575396227
1254,2019-12-09,368.3554935275001,477.22478950993377
1286,2019-12-09,702.1935850435896,661.4502106601942
1214,2019-12-09,1136.1387392628205,775.3477623089819
1357,2019-12-09,764.3276224724391,661.4492453717951
1494,2019-12-09,626.3583030315256,594.6060899114754
1396,2019-12-09,749.742737190886,432.53982348941173
1320,2019-12-09,624.4613243953247,636.9661240754716
1352,2019-12-08,190.5651716066667,337.7189649490196
278,2019-12-08,213.97375131844163,401.73607337358493
1376,2019-12-08,411.9052461200001,483.7390560399999
293,2019-12-08,162.99616142935065,147.82035684331206
321,2019-12-08,181.47345774700636,250.72530414267516
225,2019-12-08,730.9389616958942,827.9336192484076
131,2019-12-08,0.017970100719424464,236.67814862068965
372,2019-12-07,246.2071543461333,325.55729082051283
1389,2019-12-06,378.96851234311697,339.47902374814817
1032,2019-12-06,431.6737868465409,317.94611402105255
1429,2019-12-06,210.92564511823895,393.75738377939393
65,2019-12-06,578.8987544689309,426.80210146046517
1287,2019-12-01,541.1063445379486,631.5979762222223
